fn,md5_repo,md5_prod,delta_bytes,balde_auto,critica,prioridade,decisao,responsavel
sicoob-bridge-reply,fb890f19c9fe42fe349ed264052bd456,252671284805a7a99c8cba1e55afcdfe,-121,B,false,P3,,
speech-to-text,b1568cf768debe7aedddf66b23bd1adf,873127546355088eda997dbed1411ade,-97,B,false,P3,,
status,48e1ee10ead5c812f2fbf9954486bd19,d27614b582f07e25161eb046fdd3a588,-29,D,false,P3,,
talkx-add-recipients,e41b4d10ef49c44db88437b48e42e60d,62f8933251abb33663a1c067b9a68f7f,-139,B,false,P3,,
talkx-control,a049d8715ded5307cdbf9051e7565a3d,8a1976c294dd2456a318c21db4ccbcdb,-158,B,false,P3,,
talkx-send,31e14ee1f0f6529112066d6c4803c848,7a378e6260748be5f14a83728aa40f1d,-441,B,false,P3,,
ticket-router,cf2d28ad62ca6b67f5ea76cd8d84d811,9c796398e102bf93e3e5a3026f8c6df7,-167,B,false,P3,,
virustotal-test,11ee4466c319a21c13184d5aeaf829a5,b224bda12969ff1dd70a6f531da54762,-60,B,false,P3,,
voice-agent,7e5e4454dbcc0a213f13a1d29bdc53cf,ab13c13b27275c02910c011b0fc445d1,-295,B,false,P3,,
voice-copilot-action,8ca693d8bdb319126d22889c961929c5,d47d1c563bbba31239da8c4026780adb,-225,B,false,P3,,
webhook-diagnostic,e28235c7841cea25bd3fb31a72ff9768,5014c9d6ad70177fda908cdb7f52e8e9,-91,B,false,P3,,
webhook-hmac-selftest,6aecf40596cf9c27cb3df4c572ce3645,7754a2869f720583d8adbbe748f5a966,-650,B,false,P3,,
webhook-secret-status,8d866daa21578fc55d9ee4042fa81682,382c71c9e46a11a8010ba39a555576b2,-42,D,false,P3,,
whatsapp-cloud-api,f1b56b5f693275e0add1c242c00d90d1,3dcffa045e218d1e2ccedce92818a275,-294,B,false,P3,,
whatsapp-cloud-secrets-status,9eef65def077ed68042f45fd2991d4ad,c2a94ec71284a555c2b4f8cf73676866,-48,D,false,P3,,
whatsapp-cloud-send,ac67d13a0e4e743d1a430e1f15825c75,6ff6fa57abbab06e7aafc6f2fde2b9da,-272,B,false,P3,,
whatsapp-cloud-webhook-verify,16d4bb9c89922e64cc7de0a9671c262d,7dc080aff799f760037089f136167b13,-166,B,false,P3,,
